Exporters	Imported value in 2001	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Antigua and Barbuda"	49	329	0	2	682	21	235	3312	60	125	8	51	218	137	8	1	76	0	3	8	
"Fiji"	23	0	6	51	0	0	277	0	0	0	0	2177	465	23	1	4	1	0	68	8	
"Sao Tome and Principe"	0	0	0	0	0	0	0	3	0	3	0	0	1	6	0	39	0	17	0	8	
"Faroe Islands"	32	22	0	4	0	0	1	7	18	1	268	8	4	0	18	0	23	0	0	7	
"Northern Mariana Islands"	0	2	0	4	18	62	43	12	4	1	0	0	0	0	1	0	0	0	4	7	
"Benin"	401	460	722	1033	775	654	323	1332	715	63	54	75	3	6	1095	2418	1	14	5	6	
"Tajikistan"	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	1	4	
"Comoros"	2	24	0	1	3	1	1	1	2	0	0	0	0	0	0	3	2	9	31	4	
"Maldives"	4	3	2	1	0	0	1	0	0	0	2	0	16	1	0	6	22	0	0	4	
"Grenada"	285	193	0	0	123	0	0	0	0	2	0	0	0	0	0	7	87	0	0	3	
"Gibraltar"	0	38	0	0	51	288	447	14	16	16	238	6	104	47	101	1	3	1	9	2	
"Turkmenistan"	0	0	0	0	0	0	0	9	65	89	48	7	64	126	57	21	4	2	0	2	
"Bermuda"	17	53	0	0	3	0	0	1311	2	3392	2717	35	210	550	12	0	2	20	1	2	
"Namibia"	0	0	4	0	0	1	13	0	784	472	886	2910	3517	63	17	16	3	31	1	2	
"Congo, Democratic Republic of the"	6	0	14	0	0	0	0	0	1	0	0	11	28	23	0	2	11	1	22	1	
"Niue"	0	0	0	0	1	19	7	1	7	18	0	7	3	3	0	2	3	5	2	1	
"Area Nes"	275332	588981	370990	898980	223974	30	179	2969	0	0	17	0	490223	498831	35	252	5137	5	7	1	
