estu_genero,fami_educacionpadre,fami_educacionmadre,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,fami_tieneautomovil,edad,pago_promedio,estu_economia,distancia,presencial,punt_global,Region Amazonica,Region Andina,Region Caribe,Region Orinoquia,Region Pacifica
0,17.0,17.0,4,1,1,1,21,7000.0,1,0,1,196,0,1,0,0,0
1,15.0,17.0,5,1,1,1,21,7000.0,1,0,1,158,0,1,0,0,0
0,14.0,13.0,2,1,1,1,21,3250.0,1,0,1,161,0,1,0,0,0
0,17.0,14.0,2,0,0,0,24,1750.0,0,0,1,156,0,1,0,0,0
0,13.0,13.0,2,1,1,0,21,750.0,0,0,1,144,0,1,0,0,0
1,17.0,17.0,4,1,1,1,21,7000.0,1,0,1,187,0,1,0,0,0
1,11.0,5.0,3,1,1,0,28,1750.0,1,1,0,182,0,0,1,0,0
1,5.0,13.0,5,1,1,1,46,1750.0,1,1,0,107,0,0,0,0,1
1,3.0,3.0,2,1,1,0,20,500.0,1,0,1,162,0,1,0,0,0
1,15.0,11.0,2,1,1,1,23,1750.0,1,1,0,163,0,1,0,0,0
1,11.0,17.0,3,1,1,1,20,6250.0,1,0,1,179,0,1,0,0,0
0,15.0,15.0,4,1,1,1,22,3250.0,0,0,1,172,0,1,0,0,0
0,13.0,11.0,2,1,1,1,21,500.0,0,0,1,120,0,1,0,0,0
1,13.0,11.0,3,1,0,0,28,3250.0,1,0,1,188,0,1,0,0,0
0,15.0,14.0,4,1,1,0,22,3250.0,0,0,1,121,0,1,0,0,0
0,17.0,17.0,4,1,1,1,19,7000.0,0,0,1,185,0,1,0,0,0
0,11.0,11.0,2,1,1,1,25,4750.0,1,0,1,175,0,1,0,0,0
0,3.0,3.0,3,1,1,0,27,750.0,1,0,1,119,0,1,0,0,0
0,17.0,15.0,4,1,1,1,22,3250.0,0,0,1,156,0,1,0,0,0
1,14.0,17.0,5,1,1,1,20,7000.0,1,0,1,183,0,0,1,0,0
1,15.0,15.0,5,1,1,1,19,7000.0,1,0,1,226,0,1,0,0,0
1,15.0,15.0,3,0,0,0,20,4750.0,1,0,1,202,0,1,0,0,0
1,0.0,13.0,3,1,1,0,23,6250.0,0,0,1,154,0,1,0,0,0
0,0.0,8.0,4,1,1,0,22,1750.0,0,0,1,115,0,1,0,0,0
0,15.0,17.0,5,1,1,1,20,7000.0,1,0,1,189,0,1,0,0,0
1,17.0,15.0,6,1,1,1,23,4750.0,1,0,1,193,0,1,0,0,0
0,12.0,11.0,3,1,1,1,19,4750.0,1,0,1,166,0,1,0,0,0
0,8.0,3.0,3,0,0,0,22,500.0,1,0,1,156,0,1,0,0,0
1,17.0,15.0,6,1,1,1,22,7000.0,1,0,1,178,0,1,0,0,0
0,17.0,8.0,4,1,1,1,29,1750.0,1,1,0,145,0,1,0,0,0
1,3.0,8.0,2,1,1,0,24,6250.0,0,0,1,165,0,1,0,0,0
1,14.0,11.0,3,1,1,0,24,0.0,1,0,1,181,0,0,0,0,1
1,0.0,13.0,2,1,1,0,21,750.0,1,0,1,156,0,0,0,1,0
1,17.0,15.0,4,1,1,1,21,7000.0,1,0,1,238,0,1,0,0,0
0,5.0,11.0,3,1,0,0,22,3250.0,1,0,1,156,0,1,0,0,0
0,5.0,5.0,2,1,1,0,27,3250.0,1,0,1,156,0,1,0,0,0
1,11.0,11.0,1,1,1,0,21,750.0,0,0,1,164,0,1,0,0,0
0,15.0,5.0,0,1,1,1,38,3250.0,0,0,1,165,0,1,0,0,0
1,0.0,3.0,3,1,1,0,22,6250.0,1,0,1,168,0,1,0,0,0
0,17.0,17.0,5,1,1,1,20,7000.0,1,0,1,174,0,1,0,0,0
1,14.0,8.0,2,1,1,0,23,500.0,1,0,1,165,0,1,0,0,0
0,8.0,15.0,2,0,1,0,20,1750.0,0,0,1,173,0,1,0,0,0
0,11.0,11.0,1,1,1,0,25,500.0,0,0,1,138,0,0,0,0,1
1,11.0,11.0,4,1,1,0,27,3250.0,1,0,1,137,0,0,0,0,1
1,11.0,11.0,2,1,1,0,21,750.0,0,0,1,180,0,1,0,0,0
0,8.0,13.0,4,1,1,0,19,6250.0,0,0,1,152,0,1,0,0,0
1,15.0,13.0,3,1,0,1,24,4750.0,1,0,1,184,0,1,0,0,0
0,8.0,12.0,2,1,1,0,27,1750.0,1,0,1,133,0,0,0,0,1
1,17.0,15.0,3,1,1,1,20,7000.0,1,0,1,188,0,1,0,0,0
0,8.0,8.0,2,1,1,0,20,4750.0,0,0,1,178,0,1,0,0,0
1,3.0,11.0,3,1,1,1,21,1750.0,1,0,1,148,0,0,0,0,1
1,3.0,5.0,2,1,1,1,30,3250.0,1,0,1,141,0,1,0,0,0
1,17.0,17.0,4,1,0,0,23,3250.0,1,0,1,224,0,1,0,0,0
0,12.0,13.0,3,1,1,0,22,6250.0,0,0,1,132,0,1,0,0,0
0,14.0,14.0,3,1,1,0,22,0.0,1,0,1,147,0,0,1,0,0
0,3.0,11.0,2,1,1,0,21,500.0,1,0,1,194,0,1,0,0,0
0,0.0,11.0,3,1,1,0,33,1750.0,1,1,0,143,0,1,0,0,0
0,11.0,8.0,4,1,1,0,26,3250.0,0,0,1,167,0,1,0,0,0
0,15.0,17.0,4,1,1,1,20,7000.0,1,0,1,171,0,1,0,0,0
0,13.0,15.0,5,1,1,1,22,7000.0,1,0,1,155,0,1,0,0,0
0,3.0,3.0,3,1,1,1,22,4750.0,1,0,1,183,0,1,0,0,0
0,15.0,13.0,3,1,1,1,20,750.0,1,0,1,194,0,1,0,0,0
1,17.0,17.0,2,1,1,1,24,1750.0,1,0,1,197,0,1,0,0,0
0,11.0,15.0,4,1,1,0,21,4750.0,1,0,1,162,0,1,0,0,0
1,17.0,15.0,4,1,1,1,25,7000.0,1,0,1,240,0,1,0,0,0
0,3.0,11.0,6,1,1,1,24,3250.0,1,0,1,145,0,1,0,0,0
0,11.0,13.0,2,1,1,0,22,0.0,1,0,1,147,0,0,0,0,1
0,11.0,11.0,2,1,1,0,23,3250.0,0,0,1,122,0,1,0,0,0
0,17.0,17.0,3,1,1,1,21,500.0,1,0,1,204,0,1,0,0,0
1,17.0,17.0,3,1,1,1,20,1750.0,1,0,1,175,0,1,0,0,0
1,11.0,15.0,2,1,1,1,21,3250.0,1,0,1,190,0,1,0,0,0
1,17.0,15.0,5,1,1,1,21,7000.0,1,0,1,200,0,1,0,0,0
1,14.0,15.0,4,1,1,1,21,7000.0,1,0,1,183,0,1,0,0,0
1,17.0,17.0,6,1,1,1,22,7000.0,1,0,1,206,0,1,0,0,0
0,15.0,13.0,4,1,1,1,20,7000.0,1,0,1,183,0,1,0,0,0
1,15.0,15.0,4,1,1,1,19,7000.0,1,0,1,174,0,1,0,0,0
0,14.0,8.0,3,1,1,0,21,4750.0,0,0,1,161,0,1,0,0,0
1,0.0,15.0,3,1,1,0,21,4750.0,1,0,1,190,0,1,0,0,0
0,3.0,3.0,2,0,1,1,23,1750.0,0,0,1,164,0,0,0,1,0
1,3.0,8.0,1,1,1,0,23,0.0,1,0,1,132,0,0,0,0,1
1,13.0,15.0,6,1,1,1,21,3250.0,1,0,1,145,0,1,0,0,0
1,8.0,8.0,1,1,1,0,29,500.0,1,0,1,187,0,1,0,0,0
0,3.0,11.0,2,1,0,0,23,500.0,0,0,1,174,0,1,0,0,0
0,15.0,15.0,2,1,1,0,26,4750.0,1,0,1,157,0,1,0,0,0
1,13.0,11.0,3,1,0,0,21,4750.0,1,0,1,195,0,1,0,0,0
0,15.0,15.0,3,1,1,1,23,1750.0,1,1,0,189,0,1,0,0,0
0,11.0,3.0,2,1,1,0,27,3250.0,1,0,1,185,0,1,0,0,0
1,12.0,17.0,4,1,1,1,23,3250.0,1,0,1,206,0,1,0,0,0
0,13.0,8.0,2,1,1,0,27,500.0,1,0,1,150,0,0,1,0,0
0,13.0,11.0,3,1,1,0,21,4750.0,0,0,1,142,0,1,0,0,0
1,13.0,8.0,1,1,1,0,21,1750.0,1,0,1,134,0,0,1,0,0
1,8.0,8.0,3,1,1,1,26,3250.0,1,0,1,159,0,1,0,0,0
0,8.0,8.0,2,1,1,0,24,500.0,0,0,1,167,0,1,0,0,0
0,11.0,17.0,2,1,1,1,22,1750.0,0,0,1,161,0,1,0,0,0
1,3.0,11.0,2,1,1,0,21,750.0,1,0,1,162,0,1,0,0,0
1,11.0,11.0,3,1,1,0,24,0.0,0,0,1,143,0,1,0,0,0
0,15.0,11.0,2,1,1,1,20,750.0,0,0,1,145,0,1,0,0,0
0,12.0,13.0,2,1,1,0,26,3250.0,1,0,1,188,0,1,0,0,0
1,11.0,17.0,5,1,1,0,23,4750.0,1,0,1,181,0,1,0,0,0
0,3.0,13.0,2,1,1,0,21,3250.0,0,0,1,151,0,1,0,0,0
1,17.0,17.0,4,1,1,1,20,7000.0,1,0,1,168,0,0,0,0,1
0,15.0,15.0,5,1,1,1,20,7000.0,1,0,1,196,0,1,0,0,0
0,17.0,13.0,4,1,1,0,21,1750.0,0,0,1,135,0,0,0,0,1
0,3.0,8.0,4,1,1,0,26,3250.0,1,0,1,117,0,1,0,0,0
1,8.0,11.0,3,1,1,1,22,500.0,1,0,1,163,0,1,0,0,0
1,3.0,3.0,3,1,1,0,20,0.0,0,0,1,211,0,0,0,0,1
